M,K,label_idx,Both_Hands,M_Out,M_In,M_Up,M_Down,M_Front,M_Back,M_Iterative,O_Out,O_In,O_Up,O_Down,O_Front,O_Back,F_Thumb,F_Index,F_Middle,F_Ring,F_Pinky
train/001/M_00002.avi,train/001/K_00002.avi,19,,,,,,,,,,,,,,,,,,,
train/001/M_00004.avi,train/001/K_00004.avi,135,,,,,,,,,,,,,,,,,,,
train/001/M_00007.avi,train/001/K_00007.avi,49,,,,,,,,,,,,,,,,,,,
train/001/M_00009.avi,train/001/K_00009.avi,159,,,,,,,,,,,,,,,,,,,
train/001/M_00010.avi,train/001/K_00010.avi,156,,,,,,,,,,,,,,,,,,,
train/001/M_00011.avi,train/001/K_00011.avi,93,,,,,,,,,,,,,,,,,,,
train/001/M_00018.avi,train/001/K_00018.avi,135,,,,,,,,,,,,,,,,,,,
train/001/M_00021.avi,train/001/K_00021.avi,51,,,,,,,,,,,,,,,,,,,
train/001/M_00022.avi,train/001/K_00022.avi,155,,,,,,,,,,,,,,,,,,,
train/001/M_00024.avi,train/001/K_00024.avi,158,,,,,,,,,,,,,,,,,,,
train/001/M_00025.avi,train/001/K_00025.avi,135,,,,,,,,,,,,,,,,,,,
train/001/M_00030.avi,train/001/K_00030.avi,14,,,,,,,,,,,,,,,,,,,
train/001/M_00031.avi,train/001/K_00031.avi,239,,,,,,,,,,,,,,,,,,,
train/001/M_00034.avi,train/001/K_00034.avi,97,,,,,,,,,,,,,,,,,,,
train/001/M_00037.avi,train/001/K_00037.avi,238,,,,,,,,,,,,,,,,,,,
train/001/M_00039.avi,train/001/K_00039.avi,94,,,,,,,,,,,,,,,,,,,
train/001/M_00041.avi,train/001/K_00041.avi,51,,,,,,,,,,,,,,,,,,,
train/001/M_00042.avi,train/001/K_00042.avi,50,,,,,,,,,,,,,,,,,,,
train/001/M_00047.avi,train/001/K_00047.avi,5,,,,,,,,,,,,,,,,,,,
train/001/M_00050.avi,train/001/K_00050.avi,38,,,,,,,,,,,,,,,,,,,
train/001/M_00052.avi,train/001/K_00052.avi,10,,,,,,,,,,,,,,,,,,,
train/001/M_00053.avi,train/001/K_00053.avi,213,,,,,,,,,,,,,,,,,,,
train/001/M_00055.avi,train/001/K_00055.avi,56,,,,,,,,,,,,,,,,,,,
train/001/M_00056.avi,train/001/K_00056.avi,97,,,,,,,,,,,,,,,,,,,
train/001/M_00059.avi,train/001/K_00059.avi,50,,,,,,,,,,,,,,,,,,,
train/001/M_00061.avi,train/001/K_00061.avi,222,,,,,,,,,,,,,,,,,,,
train/001/M_00068.avi,train/001/K_00068.avi,238,,,,,,,,,,,,,,,,,,,
train/001/M_00069.avi,train/001/K_00069.avi,238,,,,,,,,,,,,,,,,,,,
train/001/M_00070.avi,train/001/K_00070.avi,10,,,,,,,,,,,,,,,,,,,
train/001/M_00081.avi,train/001/K_00081.avi,158,,,,,,,,,,,,,,,,,,,
train/001/M_00082.avi,train/001/K_00082.avi,18,,,,,,,,,,,,,,,,,,,
train/001/M_00083.avi,train/001/K_00083.avi,94,,,,,,,,,,,,,,,,,,,
train/001/M_00084.avi,train/001/K_00084.avi,5,,,,,,,,,,,,,,,,,,,
train/001/M_00087.avi,train/001/K_00087.avi,38,,,,,,,,,,,,,,,,,,,
train/001/M_00090.avi,train/001/K_00090.avi,8,,,,,,,,,,,,,,,,,,,
train/001/M_00093.avi,train/001/K_00093.avi,95,,,,,,,,,,,,,,,,,,,
train/001/M_00094.avi,train/001/K_00094.avi,120,,,,,,,,,,,,,,,,,,,
train/001/M_00095.avi,train/001/K_00095.avi,96,,,,,,,,,,,,,,,,,,,
train/001/M_00100.avi,train/001/K_00100.avi,188,,,,,,,,,,,,,,,,,,,
train/001/M_00101.avi,train/001/K_00101.avi,213,,,,,,,,,,,,,,,,,,,
train/001/M_00104.avi,train/001/K_00104.avi,19,,,,,,,,,,,,,,,,,,,
train/001/M_00106.avi,train/001/K_00106.avi,238,,,,,,,,,,,,,,,,,,,
train/001/M_00112.avi,train/001/K_00112.avi,157,,,,,,,,,,,,,,,,,,,
train/001/M_00116.avi,train/001/K_00116.avi,222,,,,,,,,,,,,,,,,,,,
train/001/M_00123.avi,train/001/K_00123.avi,5,,,,,,,,,,,,,,,,,,,
train/001/M_00129.avi,train/001/K_00129.avi,5,,,,,,,,,,,,,,,,,,,
train/001/M_00136.avi,train/001/K_00136.avi,5,,,,,,,,,,,,,,,,,,,
train/001/M_00137.avi,train/001/K_00137.avi,29,,,,,,,,,,,,,,,,,,,
train/001/M_00144.avi,train/001/K_00144.avi,135,,,,,,,,,,,,,,,,,,,
train/001/M_00147.avi,train/001/K_00147.avi,160,,,,,,,,,,,,,,,,,,,
train/001/M_00148.avi,train/001/K_00148.avi,14,,,,,,,,,,,,,,,,,,,
train/001/M_00154.avi,train/001/K_00154.avi,4,,,,,,,,,,,,,,,,,,,
train/001/M_00158.avi,train/001/K_00158.avi,94,,,,,,,,,,,,,,,,,,,
train/001/M_00159.avi,train/001/K_00159.avi,29,,,,,,,,,,,,,,,,,,,
train/001/M_00161.avi,train/001/K_00161.avi,154,,,,,,,,,,,,,,,,,,,
train/001/M_00165.avi,train/001/K_00165.avi,37,,,,,,,,,,,,,,,,,,,
train/001/M_00167.avi,train/001/K_00167.avi,239,,,,,,,,,,,,,,,,,,,
train/001/M_00168.avi,train/001/K_00168.avi,51,,,,,,,,,,,,,,,,,,,
train/001/M_00170.avi,train/001/K_00170.avi,10,,,,,,,,,,,,,,,,,,,
train/001/M_00176.avi,train/001/K_00176.avi,94,,,,,,,,,,,,,,,,,,,
train/001/M_00183.avi,train/001/K_00183.avi,158,,,,,,,,,,,,,,,,,,,
train/001/M_00184.avi,train/001/K_00184.avi,38,,,,,,,,,,,,,,,,,,,
train/001/M_00186.avi,train/001/K_00186.avi,157,,,,,,,,,,,,,,,,,,,
train/001/M_00188.avi,train/001/K_00188.avi,96,,,,,,,,,,,,,,,,,,,
train/001/M_00192.avi,train/001/K_00192.avi,36,,,,,,,,,,,,,,,,,,,
train/001/M_00193.avi,train/001/K_00193.avi,10,,,,,,,,,,,,,,,,,,,
train/001/M_00195.avi,train/001/K_00195.avi,117,,,,,,,,,,,,,,,,,,,
train/001/M_00196.avi,train/001/K_00196.avi,160,,,,,,,,,,,,,,,,,,,
train/001/M_00198.avi,train/001/K_00198.avi,18,,,,,,,,,,,,,,,,,,,
train/002/M_00201.avi,train/002/K_00201.avi,19,,,,,,,,,,,,,,,,,,,
train/002/M_00210.avi,train/002/K_00210.avi,5,,,,,,,,,,,,,,,,,,,
train/002/M_00214.avi,train/002/K_00214.avi,5,,,,,,,,,,,,,,,,,,,
train/002/M_00216.avi,train/002/K_00216.avi,96,,,,,,,,,,,,,,,,,,,
train/002/M_00219.avi,train/002/K_00219.avi,188,,,,,,,,,,,,,,,,,,,
train/002/M_00221.avi,train/002/K_00221.avi,55,,,,,,,,,,,,,,,,,,,
train/002/M_00222.avi,train/002/K_00222.avi,37,,,,,,,,,,,,,,,,,,,
train/002/M_00223.avi,train/002/K_00223.avi,13,,,,,,,,,,,,,,,,,,,
train/002/M_00226.avi,train/002/K_00226.avi,90,,,,,,,,,,,,,,,,,,,
train/002/M_00227.avi,train/002/K_00227.avi,209,,,,,,,,,,,,,,,,,,,
train/002/M_00228.avi,train/002/K_00228.avi,5,,,,,,,,,,,,,,,,,,,
train/002/M_00229.avi,train/002/K_00229.avi,37,,,,,,,,,,,,,,,,,,,
train/002/M_00232.avi,train/002/K_00232.avi,29,,,,,,,,,,,,,,,,,,,
train/002/M_00235.avi,train/002/K_00235.avi,135,,,,,,,,,,,,,,,,,,,
train/002/M_00242.avi,train/002/K_00242.avi,5,,,,,,,,,,,,,,,,,,,
train/002/M_00244.avi,train/002/K_00244.avi,188,,,,,,,,,,,,,,,,,,,
train/002/M_00247.avi,train/002/K_00247.avi,19,,,,,,,,,,,,,,,,,,,
train/002/M_00248.avi,train/002/K_00248.avi,238,,,,,,,,,,,,,,,,,,,
train/002/M_00250.avi,train/002/K_00250.avi,238,,,,,,,,,,,,,,,,,,,
train/002/M_00251.avi,train/002/K_00251.avi,240,,,,,,,,,,,,,,,,,,,
train/002/M_00252.avi,train/002/K_00252.avi,96,,,,,,,,,,,,,,,,,,,
train/002/M_00254.avi,train/002/K_00254.avi,209,,,,,,,,,,,,,,,,,,,
train/002/M_00257.avi,train/002/K_00257.avi,31,,,,,,,,,,,,,,,,,,,
train/002/M_00258.avi,train/002/K_00258.avi,238,,,,,,,,,,,,,,,,,,,
train/002/M_00260.avi,train/002/K_00260.avi,5,,,,,,,,,,,,,,,,,,,
train/002/M_00268.avi,train/002/K_00268.avi,10,,,,,,,,,,,,,,,,,,,
train/002/M_00277.avi,train/002/K_00277.avi,8,,,,,,,,,,,,,,,,,,,
train/002/M_00281.avi,train/002/K_00281.avi,120,,,,,,,,,,,,,,,,,,,
train/002/M_00282.avi,train/002/K_00282.avi,239,,,,,,,,,,,,,,,,,,,
train/002/M_00284.avi,train/002/K_00284.avi,213,,,,,,,,,,,,,,,,,,,
train/002/M_00285.avi,train/002/K_00285.avi,188,,,,,,,,,,,,,,,,,,,
train/002/M_00289.avi,train/002/K_00289.avi,93,,,,,,,,,,,,,,,,,,,
train/002/M_00291.avi,train/002/K_00291.avi,127,,,,,,,,,,,,,,,,,,,
train/002/M_00292.avi,train/002/K_00292.avi,213,,,,,,,,,,,,,,,,,,,
train/002/M_00293.avi,train/002/K_00293.avi,135,,,,,,,,,,,,,,,,,,,
train/002/M_00301.avi,train/002/K_00301.avi,241,,,,,,,,,,,,,,,,,,,
train/002/M_00306.avi,train/002/K_00306.avi,8,,,,,,,,,,,,,,,,,,,
train/002/M_00310.avi,train/002/K_00310.avi,19,,,,,,,,,,,,,,,,,,,
train/002/M_00311.avi,train/002/K_00311.avi,29,,,,,,,,,,,,,,,,,,,
train/002/M_00313.avi,train/002/K_00313.avi,127,,,,,,,,,,,,,,,,,,,
train/002/M_00314.avi,train/002/K_00314.avi,213,,,,,,,,,,,,,,,,,,,
train/002/M_00316.avi,train/002/K_00316.avi,96,,,,,,,,,,,,,,,,,,,
train/002/M_00321.avi,train/002/K_00321.avi,50,,,,,,,,,,,,,,,,,,,
train/002/M_00322.avi,train/002/K_00322.avi,5,,,,,,,,,,,,,,,,,,,
train/002/M_00328.avi,train/002/K_00328.avi,239,,,,,,,,,,,,,,,,,,,
train/002/M_00332.avi,train/002/K_00332.avi,160,,,,,,,,,,,,,,,,,,,
train/002/M_00333.avi,train/002/K_00333.avi,239,,,,,,,,,,,,,,,,,,,
train/002/M_00334.avi,train/002/K_00334.avi,160,,,,,,,,,,,,,,,,,,,
train/002/M_00337.avi,train/002/K_00337.avi,135,,,,,,,,,,,,,,,,,,,
train/002/M_00342.avi,train/002/K_00342.avi,223,,,,,,,,,,,,,,,,,,,
train/002/M_00354.avi,train/002/K_00354.avi,154,,,,,,,,,,,,,,,,,,,
train/002/M_00356.avi,train/002/K_00356.avi,158,,,,,,,,,,,,,,,,,,,
train/002/M_00360.avi,train/002/K_00360.avi,159,,,,,,,,,,,,,,,,,,,
train/002/M_00361.avi,train/002/K_00361.avi,97,,,,,,,,,,,,,,,,,,,
train/002/M_00363.avi,train/002/K_00363.avi,96,,,,,,,,,,,,,,,,,,,
train/002/M_00365.avi,train/002/K_00365.avi,50,,,,,,,,,,,,,,,,,,,
train/002/M_00367.avi,train/002/K_00367.avi,55,,,,,,,,,,,,,,,,,,,
train/002/M_00368.avi,train/002/K_00368.avi,38,,,,,,,,,,,,,,,,,,,
train/002/M_00369.avi,train/002/K_00369.avi,222,,,,,,,,,,,,,,,,,,,
train/002/M_00371.avi,train/002/K_00371.avi,4,,,,,,,,,,,,,,,,,,,
train/002/M_00372.avi,train/002/K_00372.avi,97,,,,,,,,,,,,,,,,,,,
train/002/M_00374.avi,train/002/K_00374.avi,37,,,,,,,,,,,,,,,,,,,
train/002/M_00379.avi,train/002/K_00379.avi,95,,,,,,,,,,,,,,,,,,,
train/002/M_00381.avi,train/002/K_00381.avi,92,,,,,,,,,,,,,,,,,,,
train/002/M_00382.avi,train/002/K_00382.avi,92,,,,,,,,,,,,,,,,,,,
train/002/M_00388.avi,train/002/K_00388.avi,127,,,,,,,,,,,,,,,,,,,
train/002/M_00390.avi,train/002/K_00390.avi,38,,,,,,,,,,,,,,,,,,,
train/002/M_00391.avi,train/002/K_00391.avi,50,,,,,,,,,,,,,,,,,,,
train/002/M_00392.avi,train/002/K_00392.avi,5,,,,,,,,,,,,,,,,,,,
train/002/M_00393.avi,train/002/K_00393.avi,95,,,,,,,,,,,,,,,,,,,
train/002/M_00394.avi,train/002/K_00394.avi,34,,,,,,,,,,,,,,,,,,,
train/002/M_00400.avi,train/002/K_00400.avi,37,,,,,,,,,,,,,,,,,,,
train/003/M_00403.avi,train/003/K_00403.avi,117,,,,,,,,,,,,,,,,,,,
train/003/M_00407.avi,train/003/K_00407.avi,94,,,,,,,,,,,,,,,,,,,
train/003/M_00409.avi,train/003/K_00409.avi,92,,,,,,,,,,,,,,,,,,,
train/003/M_00410.avi,train/003/K_00410.avi,209,,,,,,,,,,,,,,,,,,,
train/003/M_00411.avi,train/003/K_00411.avi,92,,,,,,,,,,,,,,,,,,,
train/003/M_00415.avi,train/003/K_00415.avi,117,,,,,,,,,,,,,,,,,,,
train/003/M_00419.avi,train/003/K_00419.avi,5,,,,,,,,,,,,,,,,,,,
train/003/M_00422.avi,train/003/K_00422.avi,155,,,,,,,,,,,,,,,,,,,
train/003/M_00423.avi,train/003/K_00423.avi,36,,,,,,,,,,,,,,,,,,,
train/003/M_00424.avi,train/003/K_00424.avi,159,,,,,,,,,,,,,,,,,,,
train/003/M_00428.avi,train/003/K_00428.avi,237,,,,,,,,,,,,,,,,,,,
train/003/M_00429.avi,train/003/K_00429.avi,239,,,,,,,,,,,,,,,,,,,
train/003/M_00430.avi,train/003/K_00430.avi,5,,,,,,,,,,,,,,,,,,,
train/003/M_00432.avi,train/003/K_00432.avi,156,,,,,,,,,,,,,,,,,,,
train/003/M_00433.avi,train/003/K_00433.avi,4,,,,,,,,,,,,,,,,,,,
train/003/M_00434.avi,train/003/K_00434.avi,8,,,,,,,,,,,,,,,,,,,
train/003/M_00436.avi,train/003/K_00436.avi,209,,,,,,,,,,,,,,,,,,,
train/003/M_00438.avi,train/003/K_00438.avi,237,,,,,,,,,,,,,,,,,,,
train/003/M_00441.avi,train/003/K_00441.avi,223,,,,,,,,,,,,,,,,,,,
train/003/M_00442.avi,train/003/K_00442.avi,222,,,,,,,,,,,,,,,,,,,
train/003/M_00449.avi,train/003/K_00449.avi,97,,,,,,,,,,,,,,,,,,,
train/003/M_00450.avi,train/003/K_00450.avi,4,,,,,,,,,,,,,,,,,,,
train/003/M_00451.avi,train/003/K_00451.avi,223,,,,,,,,,,,,,,,,,,,
train/003/M_00453.avi,train/003/K_00453.avi,49,,,,,,,,,,,,,,,,,,,
train/003/M_00455.avi,train/003/K_00455.avi,93,,,,,,,,,,,,,,,,,,,
train/003/M_00458.avi,train/003/K_00458.avi,38,,,,,,,,,,,,,,,,,,,
train/003/M_00460.avi,train/003/K_00460.avi,91,,,,,,,,,,,,,,,,,,,
train/003/M_00461.avi,train/003/K_00461.avi,36,,,,,,,,,,,,,,,,,,,
train/003/M_00468.avi,train/003/K_00468.avi,34,,,,,,,,,,,,,,,,,,,
train/003/M_00470.avi,train/003/K_00470.avi,34,,,,,,,,,,,,,,,,,,,
train/003/M_00473.avi,train/003/K_00473.avi,120,,,,,,,,,,,,,,,,,,,
train/003/M_00474.avi,train/003/K_00474.avi,159,,,,,,,,,,,,,,,,,,,
train/003/M_00476.avi,train/003/K_00476.avi,19,,,,,,,,,,,,,,,,,,,
train/003/M_00478.avi,train/003/K_00478.avi,5,,,,,,,,,,,,,,,,,,,
train/003/M_00482.avi,train/003/K_00482.avi,5,,,,,,,,,,,,,,,,,,,
train/003/M_00483.avi,train/003/K_00483.avi,222,,,,,,,,,,,,,,,,,,,
train/003/M_00485.avi,train/003/K_00485.avi,94,,,,,,,,,,,,,,,,,,,
train/003/M_00488.avi,train/003/K_00488.avi,36,,,,,,,,,,,,,,,,,,,
train/003/M_00489.avi,train/003/K_00489.avi,5,,,,,,,,,,,,,,,,,,,
train/003/M_00490.avi,train/003/K_00490.avi,237,,,,,,,,,,,,,,,,,,,
train/003/M_00492.avi,train/003/K_00492.avi,8,,,,,,,,,,,,,,,,,,,
