M,K,Label,Both_Hands,F_Index,F_Middle,F_Pinky,F_Ring,F_Thumb,M_Back,M_Down,M_Front,M_In,M_Iterative,M_Out,M_Up,O_Back,O_Down,O_Front,O_In,O_Out,O_Up,feature_path_m,feature_path_k
train/078/M_15534.avi,train/078/K_15534.avi,91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_15534.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_15534.npy
train/022/M_04264.avi,train/022/K_04264.avi,19,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_04264.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_04264.npy
train/012/M_02380.avi,train/012/K_02380.avi,241,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_02380.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_02380.npy
train/057/M_11216.avi,train/057/K_11216.avi,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_11216.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_11216.npy
train/174/M_34723.avi,train/174/K_34723.avi,32,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_34723.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_34723.npy
train/018/M_03442.avi,train/018/K_03442.avi,29,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_03442.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_03442.npy
train/144/M_28740.avi,train/144/K_28740.avi,19,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_28740.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_28740.npy
train/051/M_10148.avi,train/051/K_10148.avi,156,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_10148.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_10148.npy
train/119/M_23705.avi,train/119/K_23705.avi,93,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_23705.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_23705.npy
train/100/M_19826.avi,train/100/K_19826.avi,158,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_19826.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_19826.npy
train/138/M_27492.avi,train/138/K_27492.avi,239,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_27492.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_27492.npy
train/132/M_26301.avi,train/132/K_26301.avi,158,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_26301.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_26301.npy
train/077/M_15397.avi,train/077/K_15397.avi,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_15397.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_15397.npy
train/091/M_18139.avi,train/091/K_18139.avi,188,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_18139.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_18139.npy
train/034/M_06744.avi,train/034/K_06744.avi,91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_06744.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_06744.npy
train/132/M_26400.avi,train/132/K_26400.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_26400.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_26400.npy
train/027/M_05385.avi,train/027/K_05385.avi,237,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_05385.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_05385.npy
train/007/M_01398.avi,train/007/K_01398.avi,31,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_01398.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_01398.npy
train/040/M_07879.avi,train/040/K_07879.avi,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_07879.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_07879.npy
train/134/M_26791.avi,train/134/K_26791.avi,10,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_26791.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_26791.npy
train/143/M_28598.avi,train/143/K_28598.avi,94,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_28598.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_28598.npy
train/060/M_11994.avi,train/060/K_11994.avi,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_11994.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_11994.npy
train/066/M_13157.avi,train/066/K_13157.avi,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_13157.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_13157.npy
train/173/M_34508.avi,train/173/K_34508.avi,91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_34508.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_34508.npy
train/139/M_27749.avi,train/139/K_27749.avi,156,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_27749.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_27749.npy
train/128/M_25553.avi,train/128/K_25553.avi,127,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_25553.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_25553.npy
train/175/M_34907.avi,train/175/K_34907.avi,14,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_34907.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_34907.npy
